contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL260717P00125000,2026-06-08 15:56:24+00:00,125.0,0.09,0.0,0.45,0.0,0.0,4,4,1.1240278173828124,False,REGULAR,USD
AAPL260717P00130000,2026-06-09 15:27:47+00:00,130.0,0.01,0.0,0.02,0.0,0.0,3,349,0.789064609375,False,REGULAR,USD
AAPL260717P00135000,2026-06-10 14:33:00+00:00,135.0,0.03,0.01,0.03,0.01,50.0,3,139,0.79687703125,False,REGULAR,USD
AAPL260717P00140000,2026-06-09 19:56:44+00:00,140.0,0.03,0.0,0.41,0.0,0.0,1,291,0.9726565234375,False,REGULAR,USD
AAPL260717P00145000,2026-06-10 16:17:26+00:00,145.0,0.18,0.01,0.38,0.120000005,199.99998,2,163,0.9238288867187501,False,REGULAR,USD
AAPL260717P00150000,2026-06-10 18:59:46+00:00,150.0,0.03,0.01,0.2,-0.01,-25.0,30,491,0.8183611914062499,False,REGULAR,USD
AAPL260717P00155000,2026-06-09 15:18:32+00:00,155.0,0.05,0.0,0.29,0.0,0.0,4,642,0.8125018749999999,False,REGULAR,USD
AAPL260717P00160000,2026-06-09 15:16:33+00:00,160.0,0.03,0.02,0.21,-0.020000001,-40.000004,4,894,0.7539087109375,False,REGULAR,USD
AAPL260717P00165000,2026-06-09 16:16:50+00:00,165.0,0.05,0.02,0.06,0.0,0.0,9,506,0.64062859375,False,REGULAR,USD
AAPL260717P00170000,2026-06-10 16:17:44+00:00,170.0,0.05,0.01,0.09,0.0,0.0,1,1479,0.62305064453125,False,REGULAR,USD
AAPL260717P00175000,2026-06-10 18:39:03+00:00,175.0,0.06,0.06,0.08,0.0,0.0,32,887,0.6132851171875001,False,REGULAR,USD
AAPL260717P00180000,2026-06-09 18:57:50+00:00,180.0,0.08,0.07,0.08,0.009999998,14.285711,2,2935,0.58789474609375,False,REGULAR,USD
AAPL260717P00185000,2026-06-10 19:48:36+00:00,185.0,0.1,0.04,0.1,-0.009999998,-9.090907,312,573,0.55273884765625,False,REGULAR,USD
