contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOGL260821C00100000,2026-06-09 15:09:37+00:00,100.0,265.2,255.75,259.5,0.0,0.0,10.0,37,1.4775416748046877,True,REGULAR,USD
GOOGL260821C00105000,2026-04-28 14:21:54+00:00,105.0,248.45,257.9,261.65,0.0,0.0,1.0,2,2.155278049316406,True,REGULAR,USD
GOOGL260821C00110000,2026-03-25 13:38:47+00:00,110.0,187.58,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
GOOGL260821C00115000,2025-12-30 17:33:54+00:00,115.0,202.15,224.0,227.3,0.0,0.0,2.0,4,1.0000000000000003e-05,True,REGULAR,USD
GOOGL260821C00120000,2026-05-21 16:10:31+00:00,120.0,270.84,235.9,239.65,0.0,0.0,21.0,43,1.3017613037109372,True,REGULAR,USD
GOOGL260821C00125000,2026-06-08 16:01:27+00:00,125.0,238.35,231.4,234.7,0.0,0.0,12.0,15,1.2971226550292965,True,REGULAR,USD
GOOGL260821C00130000,2025-12-31 15:17:18+00:00,130.0,187.67,209.35,212.7,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
GOOGL260821C00135000,2026-06-02 13:47:04+00:00,135.0,225.95,221.5,224.55,0.0,0.0,1.0,2,1.2058145178222657,True,REGULAR,USD
GOOGL260821C00140000,2026-04-15 15:05:02+00:00,140.0,195.68,256.25,259.8,0.0,0.0,1.0,9,3.1458151237487795,True,REGULAR,USD
GOOGL260821C00145000,2026-05-12 19:49:04+00:00,145.0,243.88,211.15,215.15,0.0,0.0,2.0,8,1.1401410180664064,True,REGULAR,USD
GOOGL260821C00150000,2026-06-10 16:10:52+00:00,150.0,210.3,206.2,209.75,-16.36,-7.2178593,4.0,874,1.0800827246093752,True,REGULAR,USD
GOOGL260821C00155000,2026-06-08 16:07:04+00:00,155.0,209.26,201.25,204.95,0.0,0.0,8.0,19,1.057743969116211,True,REGULAR,USD
GOOGL260821C00160000,2026-06-10 16:11:06+00:00,160.0,202.02,196.8,199.85,-2.050003,-1.0045587,8.0,84,1.0459032080078128,True,REGULAR,USD
GOOGL260821C00165000,2026-06-10 16:11:06+00:00,165.0,197.09,191.85,194.85,-2.0200043,-1.0145167,4.0,12,1.0124561096191407,True,REGULAR,USD
GOOGL260821C00170000,2026-06-10 16:11:29+00:00,170.0,191.65,186.9,190.4,-2.480011,-1.2775,6.0,27,1.0058643457031249,True,REGULAR,USD
GOOGL260821C00175000,2026-06-10 16:11:06+00:00,175.0,185.57,181.95,185.15,-3.6399994,-1.923788,4.0,40,0.9624027197265624,True,REGULAR,USD
GOOGL260821C00180000,2026-06-10 16:11:29+00:00,180.0,182.01,177.0,180.05,-2.1900024,-1.1889265,4.0,160,0.9267585449218749,True,REGULAR,USD
GOOGL260821C00185000,2026-06-10 16:11:06+00:00,185.0,176.61,172.1,175.3,-1.3899994,-0.7808985,10.0,86,0.9089364575195311,True,REGULAR,USD
GOOGL260821C00190000,2026-06-10 16:12:32+00:00,190.0,171.46,167.15,170.05,-6.5899963,-3.7012055,28.0,212,0.8687757263183593,True,REGULAR,USD
GOOGL260821C00195000,2026-06-10 16:11:06+00:00,195.0,165.19,161.75,165.75,-7.899994,-4.564096,36.0,62,0.8494888098144531,True,REGULAR,USD
GOOGL260821C00200000,2026-06-10 17:22:45+00:00,200.0,160.9,157.35,160.35,-7.130005,-4.243293,34.0,283,0.8261736132812498,True,REGULAR,USD
GOOGL260821C00205000,2026-06-10 19:19:46+00:00,205.0,154.25,152.4,155.9,-8.639999,-5.3041925,36.0,210,0.8165301550292967,True,REGULAR,USD
GOOGL260821C00210000,2026-06-10 16:12:45+00:00,210.0,152.15,147.65,150.35,-5.4600067,-3.4642515,28.0,301,0.7767356311035156,True,REGULAR,USD
GOOGL260821C00215000,2026-06-10 16:24:29+00:00,215.0,145.39,142.55,145.65,-8.039993,-5.2401705,23.0,122,0.7540307800292969,True,REGULAR,USD
GOOGL260821C00220000,2026-06-10 16:26:32+00:00,220.0,141.39,137.85,140.55,-7.380005,-4.9606805,23.0,352,0.7314479980468749,True,REGULAR,USD
GOOGL260821C00225000,2026-06-10 16:28:30+00:00,225.0,136.34,132.25,135.9,-6.699997,-4.6840024,19.0,277,0.6958038232421876,True,REGULAR,USD
GOOGL260821C00230000,2026-06-10 16:26:32+00:00,230.0,131.34,127.95,130.95,-7.8899994,-5.666882,24.0,260,0.6893341613769532,True,REGULAR,USD
GOOGL260821C00235000,2026-06-10 16:28:30+00:00,235.0,126.41,123.2,125.9,0.51000214,0.4050851,10.0,158,0.6668734484863283,True,REGULAR,USD
GOOGL260821C00240000,2026-06-05 15:38:05+00:00,240.0,131.99,118.3,121.05,0.0,0.0,98.0,850,0.6457554956054687,True,REGULAR,USD
GOOGL260821C00245000,2026-06-10 18:19:57+00:00,245.0,114.89,113.5,116.05,-7.0699997,-5.796983,3.0,415,0.6234778863525392,True,REGULAR,USD
GOOGL260821C00250000,2026-06-09 19:05:47+00:00,250.0,120.11,108.65,111.35,0.0,0.0,12.0,822,0.6068764898681642,True,REGULAR,USD
GOOGL260821C00255000,2026-06-10 16:11:06+00:00,255.0,107.91,103.7,106.8,-4.619995,-4.1055675,11.0,407,0.5908244042968751,True,REGULAR,USD
