contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOGL281215P00005000,2026-05-29 18:50:09+00:00,5.0,0.07,0.01,0.04,0.0,0.0,1.0,2205,0.92187578125,False,REGULAR,USD
GOOGL281215P00010000,2026-06-04 15:54:13+00:00,10.0,0.04,0.02,0.09,0.0,0.0,1.0,14,0.8125018749999999,False,REGULAR,USD
GOOGL281215P00015000,2026-03-23 17:59:33+00:00,15.0,0.08,0.0,0.0,0.0,0.0,50.0,0,0.500005,False,REGULAR,USD
GOOGL281215P00020000,2026-06-04 13:50:20+00:00,20.0,0.1,0.05,0.4,0.0,0.0,187.0,600,0.7509790527343749,False,REGULAR,USD
GOOGL281215P00025000,2026-06-05 18:12:47+00:00,25.0,0.17,0.09,0.15,0.0,0.0,2.0,680,0.639652041015625,False,REGULAR,USD
GOOGL281215P00030000,2026-05-22 18:45:56+00:00,30.0,0.13,0.01,0.25,0.0,0.0,13.0,206,0.5986368261718751,False,REGULAR,USD
GOOGL281215P00035000,2026-04-06 19:53:07+00:00,35.0,0.27,0.0,0.0,0.0,0.0,4.0,0,0.2500075,False,REGULAR,USD
GOOGL281215P00040000,2026-05-05 15:13:03+00:00,40.0,0.24,0.01,0.45,0.0,0.0,2.0,50,0.5625043750000001,False,REGULAR,USD
GOOGL281215P00045000,2026-04-06 19:50:18+00:00,45.0,0.43,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD
GOOGL281215P00050000,2026-05-21 19:59:55+00:00,50.0,1.11,0.01,2.48,0.0,0.0,10.0,13,0.6401403173828125,False,REGULAR,USD
GOOGL281215P00060000,2026-04-02 19:10:27+00:00,60.0,0.7,0.0,0.0,0.0,0.0,3.0,0,0.2500075,False,REGULAR,USD
GOOGL281215P00070000,2026-05-12 19:43:17+00:00,70.0,0.58,0.2,2.61,0.0,0.0,3.0,20,0.5404098693847659,False,REGULAR,USD
GOOGL281215P00080000,2026-06-04 14:10:04+00:00,80.0,1.07,0.72,3.1,0.0,0.0,7.0,34,0.5247850256347657,False,REGULAR,USD
GOOGL281215P00090000,2026-06-09 19:37:38+00:00,90.0,1.27,0.9,1.46,0.0,0.0,2.0,94,0.46179737426757816,False,REGULAR,USD
GOOGL281215P00100000,2026-06-05 19:21:31+00:00,100.0,1.62,1.51,2.13,0.0,0.0,1.0,141,0.45831840515136724,False,REGULAR,USD
GOOGL281215P00110000,2026-06-09 19:48:54+00:00,110.0,2.1,2.0,2.59,0.0,0.0,2.0,26,0.4425104577636719,False,REGULAR,USD
GOOGL281215P00120000,2026-06-08 16:00:53+00:00,120.0,2.6,1.49,4.25,0.0,0.0,2.0,18,0.45856254333496105,False,REGULAR,USD
GOOGL281215P00125000,2026-06-09 19:38:23+00:00,125.0,2.97,2.64,4.55,0.0,0.0,1.0,13,0.4499871896362304,False,REGULAR,USD
GOOGL281215P00130000,2026-06-01 16:39:30+00:00,130.0,3.5,3.3,4.0,0.0,0.0,1.0,7,0.42185026397705083,False,REGULAR,USD
GOOGL281215P00135000,2026-05-26 15:50:43+00:00,135.0,3.29,3.65,5.8,0.0,0.0,2.0,38,0.4459283923339844,False,REGULAR,USD
GOOGL281215P00140000,2026-06-08 19:47:26+00:00,140.0,4.55,3.15,4.7,0.0,0.0,2.0,237,0.4091245611572265,False,REGULAR,USD
GOOGL281215P00145000,2026-06-02 18:06:21+00:00,145.0,4.57,4.6,6.85,0.0,0.0,2.0,145,0.4354914849853516,False,REGULAR,USD
GOOGL281215P00150000,2026-06-10 18:47:15+00:00,150.0,5.3,3.15,5.4,0.35000038,7.070715,2.0,107,0.3956969610595704,False,REGULAR,USD
GOOGL281215P00155000,2026-06-09 17:44:23+00:00,155.0,5.04,3.55,7.2,0.0,0.0,4.0,96,0.41296973754882804,False,REGULAR,USD
GOOGL281215P00160000,2026-06-08 19:19:26+00:00,160.0,6.02,6.15,7.0,0.0,0.0,2.0,449,0.39633782379150395,False,REGULAR,USD
GOOGL281215P00165000,2026-05-27 18:44:47+00:00,165.0,5.75,6.8,8.25,0.0,0.0,8.0,53,0.40170886383056637,False,REGULAR,USD
GOOGL281215P00170000,2026-06-10 16:41:53+00:00,170.0,7.49,7.45,8.6,0.03999996,0.53691226,1.0,40,0.3934386828613281,False,REGULAR,USD
GOOGL281215P00175000,2026-05-11 18:48:40+00:00,175.0,6.87,8.05,9.7,0.0,0.0,50.0,41,0.3948424774169922,False,REGULAR,USD
GOOGL281215P00180000,2026-06-08 18:25:44+00:00,180.0,8.5,8.8,9.9,0.0,0.0,150.0,1027,0.38449712188720697,False,REGULAR,USD
GOOGL281215P00185000,2026-05-22 19:47:45+00:00,185.0,8.2,9.6,10.05,0.0,0.0,1.0,71,0.37375504180908203,False,REGULAR,USD
GOOGL281215P00190000,2026-06-09 13:37:01+00:00,190.0,9.75,9.5,11.2,0.0,0.0,1.0,39,0.3745484909057617,False,REGULAR,USD
GOOGL281215P00195000,2026-06-04 15:02:15+00:00,195.0,10.72,10.9,12.2,0.0,0.0,4.0,48,0.372976851348877,False,REGULAR,USD
GOOGL281215P00200000,2026-06-10 19:40:40+00:00,200.0,12.38,11.3,13.1,0.27000046,2.229566,10.0,2490,0.3699098654174804,False,REGULAR,USD
GOOGL281215P00205000,2026-06-04 15:02:16+00:00,205.0,12.4,13.05,13.75,0.0,0.0,6.0,18,0.3640810662841797,False,REGULAR,USD
GOOGL281215P00210000,2026-06-05 16:36:27+00:00,210.0,13.35,13.1,14.5,0.0,0.0,451.0,628,0.35907623352050777,False,REGULAR,USD
GOOGL281215P00215000,2026-06-10 18:30:07+00:00,215.0,15.42,13.5,16.4,0.8500004,5.833908,4.0,39,0.36405054901123046,False,REGULAR,USD
GOOGL281215P00220000,2026-06-09 14:52:37+00:00,220.0,15.57,15.3,18.55,0.0,0.0,1.0,566,0.3700319345092773,False,REGULAR,USD
GOOGL281215P00225000,2026-06-09 16:43:57+00:00,225.0,17.95,17.1,19.15,0.0,0.0,11.0,94,0.3626467544555664,False,REGULAR,USD
GOOGL281215P00230000,2026-06-05 19:35:34+00:00,230.0,18.25,18.5,21.5,0.0,0.0,1.0,236,0.368719691772461,False,REGULAR,USD
GOOGL281215P00235000,2026-06-01 15:05:54+00:00,235.0,17.87,18.25,20.85,0.0,0.0,2.0,280,0.351645277557373,False,REGULAR,USD
GOOGL281215P00240000,2026-06-10 15:17:41+00:00,240.0,21.54,21.25,22.9,1.0900002,5.330074,97.0,890,0.35463597030639643,False,REGULAR,USD
GOOGL281215P00245000,2026-06-09 13:45:15+00:00,245.0,20.5,21.6,24.25,0.0,0.0,2.0,65,0.3520801486968994,False,REGULAR,USD
GOOGL281215P00250000,2026-06-10 15:58:59+00:00,250.0,23.85,22.05,25.85,0.6400013,2.757438,14.0,1867,0.3509281216430663,False,REGULAR,USD
