contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
META270617C00005000,2026-06-10 19:09:26+00:00,5.0,567.6,562.7,569.9,-20.850037,-3.543213,11.0,727,2.0976610058593748,True,REGULAR,USD
META270617C00015000,2025-11-19 16:16:40+00:00,15.0,573.4,641.25,649.2,0.0,0.0,,1,0.0,True,REGULAR,USD
META270617C00020000,2025-11-25 17:27:29+00:00,20.0,612.05,637.4,645.0,0.0,0.0,1.0,1,0.0,True,REGULAR,USD
META270617C00040000,2025-12-17 16:33:29+00:00,40.0,620.95,564.75,572.6,0.0,0.0,2.0,2,4.710941611328124,True,REGULAR,USD
META270617C00045000,2026-04-28 19:35:46+00:00,45.0,625.05,537.9,545.85,0.0,0.0,2.0,2,2.2462202047729485,True,REGULAR,USD
META270617C00050000,2026-04-28 19:35:29+00:00,50.0,620.45,533.15,541.05,0.0,0.0,40.0,97,2.129399207763672,True,REGULAR,USD
META270617C00260000,2026-06-03 17:51:26+00:00,260.0,374.4,322.25,328.6,0.0,0.0,1.0,24,0.6589389575195312,True,REGULAR,USD
META270617C00270000,2026-06-01 18:42:06+00:00,270.0,351.22,313.15,319.5,0.0,0.0,3.0,74,0.644107562866211,True,REGULAR,USD
META270617C00280000,2026-06-03 19:14:30+00:00,280.0,355.7,304.15,310.35,0.0,0.0,2.0,8,0.629611858215332,True,REGULAR,USD
META270617C00290000,2026-05-28 13:39:21+00:00,290.0,356.76,295.05,301.3,0.0,0.0,,1,0.6150551190185547,True,REGULAR,USD
META270617C00300000,2026-06-10 19:25:24+00:00,300.0,291.0,286.65,292.3,-13.01001,-4.2794676,4.0,25,0.6046182116699221,True,REGULAR,USD
META270617C00310000,2026-06-10 18:47:55+00:00,310.0,282.65,277.45,283.35,-43.350006,-13.297547,1.0,32,0.5898783688354493,True,REGULAR,USD
META270617C00320000,2026-06-05 19:42:43+00:00,320.0,290.85,269.0,274.45,0.0,0.0,21.0,156,0.5791362887573243,True,REGULAR,USD
META270617C00330000,2026-06-08 18:13:00+00:00,330.0,278.35,261.55,265.7,0.0,0.0,3.0,17,0.5734295587158205,True,REGULAR,USD
META270617C00340000,2026-05-28 18:11:38+00:00,340.0,313.0,252.15,257.1,0.0,0.0,2.0,23,0.5589033367919922,True,REGULAR,USD
META270617C00350000,2026-06-10 18:02:20+00:00,350.0,250.5,244.5,248.7,-12.049988,-4.5895977,6.0,40,0.5526778131103516,True,REGULAR,USD
