contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
META260821P00290000,2026-06-10 15:58:17+00:00,290.0,0.24,0.2,0.34,-0.040000007,-14.285716,1.0,150,0.6210975390625001,False,REGULAR,USD
META260821P00300000,2026-06-09 15:32:09+00:00,300.0,0.29,0.24,0.37,0.0,0.0,1.0,187,0.6010782080078126,False,REGULAR,USD
META260821P00310000,2026-06-09 15:32:09+00:00,310.0,0.36,0.28,0.4,0.0,0.0,1.0,188,0.5805706005859376,False,REGULAR,USD
META260821P00320000,2026-06-08 15:14:47+00:00,320.0,0.54,0.41,0.54,0.0,0.0,1.0,58,0.5776409423828125,False,REGULAR,USD
META260821P00330000,2026-06-04 17:08:33+00:00,330.0,0.26,0.43,0.64,0.0,0.0,1.0,45,0.5585981640625001,False,REGULAR,USD
META260821P00340000,2026-06-10 17:22:31+00:00,340.0,0.62,0.54,0.67,0.060000002,10.714286,4.0,79,0.5405319384765627,False,REGULAR,USD
META260821P00350000,2026-06-10 17:11:34+00:00,350.0,0.76,0.66,0.83,0.13999999,22.580643,3.0,134,0.529423651123047,False,REGULAR,USD
META260821P00360000,2026-06-10 19:29:12+00:00,360.0,0.97,0.83,1.02,0.18,22.78481,7.0,94,0.5195360546875,False,REGULAR,USD
META260821P00370000,2026-06-10 18:51:27+00:00,370.0,1.15,0.97,1.14,0.20999998,22.340424,1.0,48,0.5029346582031251,False,REGULAR,USD
META260821P00380000,2026-06-10 16:38:16+00:00,380.0,1.25,1.21,1.35,0.09000003,7.758624,4.0,222,0.49658706542968756,False,REGULAR,USD
META260821P00390000,2026-06-09 14:30:56+00:00,390.0,1.15,1.48,1.64,0.0,0.0,21.0,184,0.48627222717285157,False,REGULAR,USD
META260821P00400000,2026-06-10 19:18:46+00:00,400.0,1.95,1.86,2.0,0.23000002,13.372094,17.0,384,0.47681187255859375,False,REGULAR,USD
META260821P00410000,2026-06-10 19:49:52+00:00,410.0,2.29,2.2,2.37,0.23000002,11.16505,2.0,208,0.4650322052001954,False,REGULAR,USD
META260821P00415000,2026-06-08 15:39:56+00:00,415.0,2.06,2.4,2.67,0.0,0.0,4.0,6,0.46271289245605474,False,REGULAR,USD
META260821P00420000,2026-06-10 19:01:01+00:00,420.0,2.81,2.69,2.89,0.46000004,19.57447,58.0,581,0.4564873687744141,False,REGULAR,USD
META260821P00425000,2026-06-09 16:37:48+00:00,425.0,2.73,2.93,3.2,0.0,0.0,6.0,33,0.4527642614746094,False,REGULAR,USD
META260821P00430000,2026-06-10 14:05:19+00:00,430.0,2.71,3.25,3.5,-0.03999996,-1.4545441,7.0,1236,0.4478204632568359,False,REGULAR,USD
META260821P00435000,2026-06-09 14:42:49+00:00,435.0,2.65,3.55,3.9,0.0,0.0,6.0,54,0.44507390869140623,False,REGULAR,USD
META260821P00440000,2026-06-09 17:15:34+00:00,440.0,3.8,4.0,4.2,0.25,7.0422535,26.0,352,0.4386652813720704,False,REGULAR,USD
META260821P00445000,2026-06-08 19:53:08+00:00,445.0,3.7,4.4,4.65,0.0,0.0,121.0,124,0.43555251953125,False,REGULAR,USD
META260821P00450000,2026-06-10 19:49:52+00:00,450.0,4.94,4.85,5.1,0.21000004,4.439747,26.0,876,0.4315242395019532,False,REGULAR,USD
META260821P00455000,2026-06-09 19:16:39+00:00,455.0,4.5,5.3,5.75,0.0,0.0,3.0,28,0.4310969976806641,False,REGULAR,USD
META260821P00460000,2026-06-10 19:09:27+00:00,460.0,6.05,6.0,6.2,0.9000001,17.475729,17.0,371,0.4252376812744141,False,REGULAR,USD
META260821P00465000,2026-06-10 19:05:26+00:00,465.0,6.7,6.5,6.8,0.98,17.132868,43.0,98,0.42175871215820315,False,REGULAR,USD
META260821P00470000,2026-06-10 18:27:56+00:00,470.0,7.4,7.15,7.45,1.25,20.325203,9.0,880,0.41831026031494134,False,REGULAR,USD
META260821P00475000,2026-06-10 19:49:31+00:00,475.0,7.95,7.85,8.15,1.4299998,21.932512,20.0,99,0.41486180847167964,False,REGULAR,USD
META260821P00480000,2026-06-10 19:41:21+00:00,480.0,8.55,8.65,8.95,1.1500001,15.540542,135.0,5892,0.4122068057250976,False,REGULAR,USD
META260821P00485000,2026-06-10 17:13:56+00:00,485.0,9.08,9.45,9.75,0.23999977,2.7149296,12.0,89,0.4085752502441406,False,REGULAR,USD
META260821P00490000,2026-06-10 19:05:28+00:00,490.0,10.3,10.35,10.75,1.6500006,19.075153,8.0,2785,0.4070799038696289,False,REGULAR,USD
META260821P00495000,2026-06-10 19:04:28+00:00,495.0,11.45,11.3,11.7,1.1599998,11.273079,8.0,87,0.40381455566406255,False,REGULAR,USD
META260821P00500000,2026-06-10 19:53:55+00:00,500.0,12.7,12.45,12.95,2.3000002,22.115387,106.0,6349,0.4037535211181641,False,REGULAR,USD
META260821P00505000,2026-06-10 19:16:49+00:00,505.0,13.49,13.5,14.05,2.4899998,22.63636,34.0,91,0.4005492074584961,False,REGULAR,USD
META260821P00510000,2026-06-10 19:22:48+00:00,510.0,14.9,14.8,15.3,2.2999992,18.253962,84.0,1204,0.39833670516967773,False,REGULAR,USD
META260821P00515000,2026-06-10 19:41:14+00:00,515.0,16.05,16.1,16.55,2.579999,19.153667,26.0,111,0.3951171328735352,False,REGULAR,USD
META260821P00520000,2026-06-10 19:52:37+00:00,520.0,17.2,17.55,18.0,2.4000006,16.21622,135.0,1935,0.3933471310424804,False,REGULAR,USD
META260821P00525000,2026-06-10 19:46:38+00:00,525.0,18.89,19.0,19.5,3.4399996,22.265371,43.0,299,0.39111937011718745,False,REGULAR,USD
META260821P00530000,2026-06-10 19:59:24+00:00,530.0,20.75,20.65,21.15,3.5300007,20.499424,46.0,3277,0.38959350646972657,False,REGULAR,USD
META260821P00535000,2026-06-10 19:22:16+00:00,535.0,22.35,22.4,22.85,4.450001,24.860338,37.0,208,0.38757936645507807,False,REGULAR,USD
META260821P00540000,2026-06-10 19:49:31+00:00,540.0,24.27,24.2,24.7,3.7200012,18.102196,344.0,1733,0.38614505462646476,False,REGULAR,USD
META260821P00545000,2026-06-10 19:22:27+00:00,545.0,26.0,26.15,26.65,5.049999,24.10501,234.0,417,0.38475651870727534,False,REGULAR,USD
META260821P00550000,2026-06-10 19:59:24+00:00,550.0,28.5,28.15,28.7,4.299999,17.768593,214.0,4494,0.3833527241516113,False,REGULAR,USD
META260821P00555000,2026-06-10 19:52:37+00:00,555.0,30.35,30.3,31.0,5.950001,24.385248,46.0,168,0.3834747932434082,False,REGULAR,USD
META260821P00560000,2026-06-10 19:51:40+00:00,560.0,32.0,32.55,33.5,4.1000004,14.695342,131.0,2096,0.3845428977966308,False,REGULAR,USD
META260821P00565000,2026-06-10 19:34:00+00:00,565.0,34.73,34.9,35.6,5.0699997,17.093727,26.0,205,0.380590910949707,False,REGULAR,USD
META260821P00570000,2026-06-10 19:49:31+00:00,570.0,37.07,37.3,38.1,5.5,17.421602,151.0,1748,0.37964487548828124,False,REGULAR,USD
META260821P00575000,2026-06-10 19:56:56+00:00,575.0,40.08,39.8,40.6,8.180002,25.642641,117.0,662,0.3776765113830566,True,REGULAR,USD
META260821P00580000,2026-06-10 19:54:39+00:00,580.0,42.33,42.55,43.35,7.9300003,23.052324,202.0,2300,0.3771729763793945,True,REGULAR,USD
META260821P00585000,2026-06-10 19:38:13+00:00,585.0,45.05,45.3,46.15,6.700001,17.470667,98.0,411,0.376181165008545,True,REGULAR,USD
META260821P00590000,2026-06-10 19:28:02+00:00,590.0,47.75,48.25,49.05,5.799999,13.825981,217.0,2855,0.37518935363769534,True,REGULAR,USD
META260821P00595000,2026-06-10 18:29:27+00:00,595.0,50.1,51.2,52.15,8.329998,19.942537,52.0,207,0.37521987091064457,True,REGULAR,USD
META260821P00600000,2026-06-10 19:28:11+00:00,600.0,55.1,54.3,55.05,7.6499977,16.122229,51.0,3955,0.372274954071045,True,REGULAR,USD
META260821P00605000,2026-06-10 19:37:59+00:00,605.0,57.3,57.55,58.2,9.349998,19.499475,6.0,450,0.3708864181518554,True,REGULAR,USD
META260821P00610000,2026-06-10 18:37:42+00:00,610.0,61.52,60.85,61.5,8.32,15.639097,18.0,2602,0.3700471931457519,True,REGULAR,USD
META260821P00615000,2026-06-10 19:00:47+00:00,615.0,63.85,63.6,65.25,9.889999,18.32839,59.0,1274,0.3729921099853516,True,REGULAR,USD
META260821P00620000,2026-06-10 18:28:16+00:00,620.0,64.95,66.9,68.8,5.8499985,9.898476,89.0,2348,0.3730073686218262,True,REGULAR,USD
META260821P00625000,2026-06-10 19:29:19+00:00,625.0,71.73,70.25,72.5,12.430004,20.96122,3.0,116,0.3737703004455566,True,REGULAR,USD
META260821P00630000,2026-06-10 18:53:00+00:00,630.0,75.0,74.05,75.95,12.130001,19.293783,25.0,1671,0.3708864181518554,True,REGULAR,USD
META260821P00635000,2026-06-10 19:29:19+00:00,635.0,78.95,77.55,79.65,12.519997,18.8469,5.0,90,0.3698640895080566,True,REGULAR,USD
META260821P00640000,2026-06-10 19:27:38+00:00,640.0,82.72,81.5,83.65,12.630005,18.019697,21.0,1120,0.3714662463378906,True,REGULAR,USD
META260821P00645000,2026-06-08 13:59:46+00:00,645.0,83.68,85.15,87.85,7.9400024,10.483235,1.0,66,0.37471633590698245,True,REGULAR,USD
META260821P00650000,2026-06-10 18:23:41+00:00,650.0,87.12,89.25,91.4,9.790001,12.660029,10.0,2143,0.369223226776123,True,REGULAR,USD
META260821P00655000,2026-06-05 14:25:08+00:00,655.0,89.98,93.05,95.75,27.140003,43.189056,1.0,34,0.3728852995300293,True,REGULAR,USD
META260821P00660000,2026-06-10 19:26:08+00:00,660.0,98.55,97.35,99.65,11.150002,12.757439,24.0,680,0.36997089996337884,True,REGULAR,USD
META260821P00665000,2026-06-08 14:50:05+00:00,665.0,88.85,101.2,103.8,0.0,0.0,1.0,14,0.369497882232666,True,REGULAR,USD
META260821P00670000,2026-06-10 19:13:58+00:00,670.0,106.55,105.65,108.15,9.520004,9.811403,44.0,794,0.3711000390625,True,REGULAR,USD
