contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MSFT260702C00270000,2026-05-27 13:34:10+00:00,270.0,143.25,126.8,130.35,0.0,0.0,,3,0.8864757446289062,True,REGULAR,USD
MSFT260702C00280000,2026-06-04 13:52:15+00:00,280.0,151.67,116.9,120.4,0.0,0.0,1.0,1,0.8249529223632811,True,REGULAR,USD
MSFT260702C00290000,2026-06-02 14:47:00+00:00,290.0,154.54,107.2,110.6,0.0,0.0,33.0,34,0.7832052929687501,True,REGULAR,USD
MSFT260702C00300000,2026-05-26 16:22:08+00:00,300.0,117.0,97.2,100.8,0.0,0.0,,13,0.7231472998046875,True,REGULAR,USD
MSFT260702C00305000,2026-05-26 15:24:41+00:00,305.0,112.55,92.15,95.8,0.0,0.0,,11,0.6860382958984376,True,REGULAR,USD
MSFT260702C00310000,2026-05-27 16:57:13+00:00,310.0,105.3,87.35,90.85,0.0,0.0,,26,0.6628451684570313,True,REGULAR,USD
MSFT260702C00315000,2026-05-27 16:56:57+00:00,315.0,100.5,82.15,85.75,0.0,0.0,,1,0.6157264990234376,True,REGULAR,USD
MSFT260702C00320000,2026-06-08 15:58:22+00:00,320.0,92.12,77.25,80.75,0.0,0.0,26.0,6,0.5861857788085938,True,REGULAR,USD
MSFT260702C00325000,2026-06-08 15:58:22+00:00,325.0,87.21,72.6,75.9,0.0,0.0,26.0,1,0.5720257641601563,True,REGULAR,USD
MSFT260702C00330000,2026-06-08 17:00:06+00:00,330.0,81.02,67.55,70.95,0.0,0.0,2.0,2,0.5378464184570313,True,REGULAR,USD
MSFT260702C00335000,2026-06-09 15:23:32+00:00,335.0,72.22,62.65,66.1,0.0,0.0,1.0,5,0.5124560473632812,True,REGULAR,USD
MSFT260702C00340000,2026-06-09 14:16:01+00:00,340.0,71.7,58.15,61.25,0.0,0.0,2.0,4,0.5802654278564454,True,REGULAR,USD
MSFT260702C00345000,2026-06-09 14:45:20+00:00,345.0,55.0,53.3,56.4,-9.860001,-15.201974,1.0,9,0.5487105676269532,True,REGULAR,USD
MSFT260702C00350000,2026-06-09 18:38:10+00:00,350.0,54.08,48.45,51.7,-1.2099991,-2.1884592,5.0,25,0.5229539892578124,True,REGULAR,USD
MSFT260702C00355000,2026-06-10 16:19:31+00:00,355.0,49.92,43.55,47.05,0.36999893,0.74671835,1.0,44,0.49774672180175783,True,REGULAR,USD
MSFT260702C00360000,2026-06-09 15:15:43+00:00,360.0,42.6,39.7,42.5,-5.9000015,-12.164951,1.0,35,0.47449255981445315,True,REGULAR,USD
MSFT260702C00365000,2026-06-10 14:24:15+00:00,365.0,40.75,35.3,38.05,-9.25,-18.5,1.0,4,0.4524590887451172,True,REGULAR,USD
MSFT260702C00370000,2026-06-09 19:16:29+00:00,370.0,37.15,31.15,33.8,0.0,0.0,22.0,28,0.434148724975586,True,REGULAR,USD
MSFT260702C00375000,2026-06-04 16:55:53+00:00,375.0,55.0,27.25,29.25,0.0,0.0,1.0,7,0.40320421020507813,True,REGULAR,USD
MSFT260702C00380000,2026-06-09 19:49:44+00:00,380.0,26.1,23.5,25.15,-1.0,-3.6900368,5.0,20,0.3826355682373046,True,REGULAR,USD
MSFT260702C00385000,2026-06-10 16:40:23+00:00,385.0,24.77,20.0,21.75,-0.45999908,-1.8232228,3.0,53,0.37674573455810545,True,REGULAR,USD
MSFT260702C00390000,2026-06-09 19:20:04+00:00,390.0,17.75,16.9,18.4,-3.25,-15.476191,13.0,84,0.36591210266113283,True,REGULAR,USD
MSFT260702C00395000,2026-06-10 19:35:15+00:00,395.0,14.78,14.1,15.4,-2.4399996,-14.169568,11.0,66,0.35773347351074214,True,REGULAR,USD
MSFT260702C00400000,2026-06-10 19:53:18+00:00,400.0,12.1,11.65,12.75,-3.0,-19.86755,211.0,184,0.3515079498291015,False,REGULAR,USD
MSFT260702C00405000,2026-06-10 19:50:55+00:00,405.0,9.6,9.45,10.35,-3.25,-25.291828,186.0,278,0.34448897705078124,False,REGULAR,USD
MSFT260702C00410000,2026-06-10 19:47:57+00:00,410.0,8.2,7.55,8.0,-2.0,-19.607843,79.0,276,0.3310918942260742,False,REGULAR,USD
MSFT260702C00415000,2026-06-10 19:42:38+00:00,415.0,6.49,6.0,6.5,-1.7600002,-21.333338,102.0,577,0.3327703442382813,False,REGULAR,USD
