contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MSFT260724P00270000,2026-06-08 16:13:19+00:00,270.0,1.05,0.0,0.59,0.0,0.0,4,4,0.5039112109375,False,REGULAR,USD
MSFT260724P00280000,2026-06-10 19:48:00+00:00,280.0,0.21,0.0,0.78,0.08,61.538464,6,9,0.5376022802734376,False,REGULAR,USD
MSFT260724P00290000,2026-06-09 16:39:05+00:00,290.0,0.47,0.16,1.03,0.0,0.0,1,21,0.5168505346679688,False,REGULAR,USD
MSFT260724P00300000,2026-06-10 18:44:47+00:00,300.0,0.64,0.2,0.75,0.30999997,93.939384,51,35,0.44287666503906253,False,REGULAR,USD
MSFT260724P00305000,2026-06-10 17:44:37+00:00,305.0,0.49,0.25,0.91,0.0,0.0,252,20,0.4361628649902344,False,REGULAR,USD
MSFT260724P00310000,2026-06-10 19:52:38+00:00,310.0,0.7,0.34,0.94,0.099999964,16.66666,2,100,0.4162656030273437,False,REGULAR,USD
MSFT260724P00315000,2026-06-09 19:18:40+00:00,315.0,0.56,0.43,1.11,0.0,0.0,3,20,0.4074766284179688,False,REGULAR,USD
MSFT260724P00320000,2026-06-09 19:54:12+00:00,320.0,0.75,0.35,1.2,-0.16000003,-17.582418,2,28,0.39111937011718745,False,REGULAR,USD
MSFT260724P00325000,2026-06-09 19:18:06+00:00,325.0,0.8,0.02,1.62,0.0,0.0,6,27,0.39417109741210943,False,REGULAR,USD
MSFT260724P00330000,2026-06-10 19:32:34+00:00,330.0,1.3,1.15,1.3,0.27999997,27.450977,22,33,0.35193519165039056,False,REGULAR,USD
MSFT260724P00335000,2026-06-10 16:56:27+00:00,335.0,1.3,0.93,1.85,0.17999995,16.071423,1,85,0.3585269226074219,False,REGULAR,USD
MSFT260724P00340000,2026-06-10 19:05:52+00:00,340.0,1.69,1.12,1.99,0.19000006,12.666671,64,68,0.3409489733886719,False,REGULAR,USD
MSFT260724P00345000,2026-06-10 16:50:07+00:00,345.0,2.09,1.85,2.76,0.21999991,11.764701,11,41,0.34766277343749996,False,REGULAR,USD
MSFT260724P00350000,2026-06-10 19:59:46+00:00,350.0,2.77,2.35,3.15,0.45000005,19.396553,6272,398,0.3355779333496094,False,REGULAR,USD
MSFT260724P00355000,2026-06-10 19:59:47+00:00,355.0,3.45,3.05,3.65,0.85000014,32.692314,124,67,0.3250189569091796,False,REGULAR,USD
MSFT260724P00360000,2026-06-10 19:59:47+00:00,360.0,4.1,3.85,4.65,0.5,13.888889,46,57,0.32605654418945307,False,REGULAR,USD
MSFT260724P00365000,2026-06-10 19:48:00+00:00,365.0,5.01,4.45,5.45,0.9300003,22.794125,34,76,0.3175117077636719,False,REGULAR,USD
MSFT260724P00370000,2026-06-10 19:56:42+00:00,370.0,5.8,5.2,6.5,0.8000002,16.000004,72,125,0.3118354949951171,False,REGULAR,USD
MSFT260724P00375000,2026-06-10 19:54:16+00:00,375.0,7.5,6.6,8.8,1.25,20.0,30,189,0.3291693060302734,False,REGULAR,USD
MSFT260724P00380000,2026-06-10 19:32:55+00:00,380.0,9.0,7.85,9.5,1.7600002,24.309397,239,230,0.30823445678710937,False,REGULAR,USD
MSFT260724P00385000,2026-06-10 19:59:50+00:00,385.0,10.87,10.2,11.35,1.7699995,19.450544,69,106,0.3070137658691406,False,REGULAR,USD
MSFT260724P00390000,2026-06-10 19:44:39+00:00,390.0,12.38,11.65,13.0,1.8299999,17.345972,53,225,0.2979196185302734,False,REGULAR,USD
MSFT260724P00395000,2026-06-10 19:37:43+00:00,395.0,14.55,13.6,15.65,2.0500002,16.400002,49,521,0.30298548583984375,False,REGULAR,USD
