contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NVDA260717C00002500,2026-06-04 13:34:21+00:00,2.5,211.87,194.9,201.35,0.0,0.0,,10,6.515626855468751,True,REGULAR,USD
NVDA260717C00005000,2026-06-08 16:16:59+00:00,5.0,203.76,192.5,199.45,0.0,0.0,50.0,90,6.210939736328125,True,REGULAR,USD
NVDA260717C00015000,2026-06-09 17:47:47+00:00,15.0,189.75,182.95,188.55,0.0,0.0,20.0,20,3.750000625,True,REGULAR,USD
NVDA260717C00020000,2026-05-22 15:35:05+00:00,20.0,197.88,177.75,183.6,0.0,0.0,14.0,0,3.1875020312499998,True,REGULAR,USD
NVDA260717C00025000,2026-06-04 13:49:45+00:00,25.0,187.76,173.35,179.2,0.0,0.0,14.0,14,3.463868527832031,True,REGULAR,USD
NVDA260717C00030000,2026-05-28 14:52:34+00:00,30.0,182.0,167.8,173.65,0.0,0.0,,0,2.6777376806640625,True,REGULAR,USD
NVDA260717C00035000,2026-06-02 14:39:44+00:00,35.0,192.73,163.0,168.65,0.0,0.0,,1,2.560550473632812,True,REGULAR,USD
NVDA260717C00040000,2026-06-03 19:58:46+00:00,40.0,175.09,157.95,163.9,0.0,0.0,,1,2.447269506835937,True,REGULAR,USD
NVDA260717C00050000,2026-06-05 15:17:16+00:00,50.0,159.61,148.3,153.75,0.0,0.0,15.0,117,2.175785810546875,True,REGULAR,USD
NVDA260717C00055000,2026-05-26 15:07:40+00:00,55.0,159.25,143.35,149.3,0.0,0.0,1.0,50,2.176762370605468,True,REGULAR,USD
NVDA260717C00060000,2026-06-03 19:35:59+00:00,60.0,155.57,138.45,144.7,0.0,0.0,35.0,20,2.1308640478515626,True,REGULAR,USD
NVDA260717C00065000,2026-06-09 14:12:33+00:00,65.0,142.85,133.2,138.8,0.0,0.0,5.0,79,1.7705089599609374,True,REGULAR,USD
NVDA260717C00070000,2026-06-01 17:21:59+00:00,70.0,151.43,129.0,134.15,0.0,0.0,10.0,24,1.8759771826171874,True,REGULAR,USD
NVDA260717C00075000,2026-06-04 18:05:47+00:00,75.0,145.64,123.65,129.4,0.0,0.0,15.0,24,1.748048134765625,True,REGULAR,USD
NVDA260717C00080000,2026-06-05 16:38:05+00:00,80.0,128.9,118.55,123.9,0.0,0.0,4.0,32,1.5498069384765623,True,REGULAR,USD
NVDA260717C00085000,2026-06-02 15:23:11+00:00,85.0,141.94,113.45,118.9,0.0,0.0,3.0,65,1.4399442065429686,True,REGULAR,USD
NVDA260717C00090000,2026-06-05 16:46:31+00:00,90.0,118.17,108.45,114.0,0.0,0.0,23.0,58,1.3686555004882814,True,REGULAR,USD
NVDA260717C00095000,2026-06-08 16:06:35+00:00,95.0,114.56,103.85,109.0,0.0,0.0,1.0,114,1.3398470507812497,True,REGULAR,USD
NVDA260717C00100000,2026-06-10 19:59:41+00:00,100.0,101.5,99.7,103.1,1.449997,1.4492723,5.0,4589,1.2519568652343749,True,REGULAR,USD
NVDA260717C00105000,2026-06-03 18:44:26+00:00,105.0,98.79,93.95,99.1,-15.260002,-13.380098,1.0,61,1.203128984375,True,REGULAR,USD
NVDA260717C00110000,2026-06-09 16:22:20+00:00,110.0,91.65,89.1,93.2,0.0,0.0,7.0,3260,1.0410204199218753,True,REGULAR,USD
NVDA260717C00115000,2026-06-09 15:59:54+00:00,115.0,88.84,84.3,88.3,0.0,0.0,12.0,295,1.0083057397460937,True,REGULAR,USD
NVDA260717C00120000,2026-06-10 19:31:22+00:00,120.0,81.45,80.65,84.1,-6.130005,-6.9993205,12.0,296,1.12109814453125,True,REGULAR,USD
NVDA260717C00125000,2026-06-10 16:07:55+00:00,125.0,79.28,75.75,77.55,3.2799988,4.315788,150.0,952,0.9406744213867188,True,REGULAR,USD
NVDA260717C00130000,2026-06-10 19:59:02+00:00,130.0,71.9,70.6,72.1,-4.7699966,-6.2214646,31.0,393,0.8242205078124999,True,REGULAR,USD
NVDA260717C00135000,2026-06-10 19:36:51+00:00,135.0,66.84,66.05,67.7,-6.300003,-8.613622,8.0,415,0.8435074243164062,True,REGULAR,USD
NVDA260717C00140000,2026-06-10 19:53:14+00:00,140.0,62.7,60.15,62.75,-5.700001,-8.333334,16.0,1028,0.72070591796875,True,REGULAR,USD
NVDA260717C00145000,2026-06-09 14:14:15+00:00,145.0,59.6,56.4,57.65,-3.4800034,-5.516809,1.0,5373,0.73633076171875,True,REGULAR,USD
NVDA260717C00150000,2026-06-10 18:58:07+00:00,150.0,52.47,51.1,52.55,0.47999954,0.92325354,26.0,1501,0.6523472265625001,True,REGULAR,USD
NVDA260717C00155000,2026-06-09 19:49:28+00:00,155.0,52.1,46.7,47.85,0.0,0.0,11.0,492,0.6397741101074219,True,REGULAR,USD
NVDA260717C00160000,2026-06-10 19:53:30+00:00,160.0,43.45,42.0,42.7,-3.2999992,-7.058822,9.0,2782,0.5860637097167969,True,REGULAR,USD
NVDA260717C00165000,2026-06-10 19:37:30+00:00,165.0,38.3,37.3,38.1,-4.549999,-10.618435,3.0,1125,0.5539595385742189,True,REGULAR,USD
NVDA260717C00170000,2026-06-10 19:26:10+00:00,170.0,32.98,33.0,33.55,-4.970001,-13.096182,37.0,3201,0.5324753784179688,True,REGULAR,USD
NVDA260717C00175000,2026-06-10 19:14:44+00:00,175.0,29.55,28.15,29.1,-4.700001,-13.72263,120.0,5764,0.5179491564941407,True,REGULAR,USD
NVDA260717C00180000,2026-06-10 19:58:48+00:00,180.0,25.2,24.55,25.0,-5.209999,-17.132519,294.0,13819,0.4975636181640626,True,REGULAR,USD
NVDA260717C00185000,2026-06-10 19:47:27+00:00,185.0,21.8,20.7,21.1,-4.9800014,-18.595972,95.0,8513,0.47736118347167966,True,REGULAR,USD
NVDA260717C00190000,2026-06-10 19:59:53+00:00,190.0,17.43,17.0,17.5,-5.369999,-23.552628,248.0,21500,0.4600884069824219,True,REGULAR,USD
NVDA260717C00195000,2026-06-10 19:59:53+00:00,195.0,14.25,13.75,14.3,-5.1000004,-26.35659,468.0,32879,0.44775942871093743,True,REGULAR,USD
NVDA260717C00200000,2026-06-10 19:59:50+00:00,200.0,11.4,11.3,11.4,-4.5,-28.301888,4420.0,78748,0.43445389770507814,True,REGULAR,USD
NVDA260717C00205000,2026-06-10 19:59:59+00:00,205.0,8.95,8.85,9.0,-4.0200005,-30.994608,4343.0,14269,0.4272518212890626,False,REGULAR,USD
NVDA260717C00210000,2026-06-10 19:59:40+00:00,210.0,7.01,6.9,7.0,-3.3599997,-32.401154,10362.0,24443,0.42212491943359376,False,REGULAR,USD
NVDA260717C00215000,2026-06-10 19:59:55+00:00,215.0,5.35,5.25,5.35,-2.7999997,-34.355827,3169.0,33794,0.4177304321289062,False,REGULAR,USD
NVDA260717C00220000,2026-06-10 19:59:10+00:00,220.0,4.06,4.0,4.05,-2.19,-35.04,6947.0,81899,0.4155331884765625,False,REGULAR,USD
NVDA260717C00225000,2026-06-10 19:59:51+00:00,225.0,3.05,3.0,3.05,-1.6899998,-35.654007,4305.0,24058,0.41522801574707036,False,REGULAR,USD
NVDA260717C00230000,2026-06-10 19:59:53+00:00,230.0,2.29,2.25,2.3,-1.31,-36.38889,6985.0,43407,0.41699801757812494,False,REGULAR,USD
NVDA260717C00235000,2026-06-10 19:59:30+00:00,235.0,1.74,1.7,1.74,-1.01,-36.727272,1528.0,19537,0.4202938830566406,False,REGULAR,USD
NVDA260717C00240000,2026-06-10 19:59:50+00:00,240.0,1.32,1.3,1.33,-0.7499999,-36.231876,4730.0,42453,0.42529871582031253,False,REGULAR,USD
NVDA260717C00245000,2026-06-10 19:58:25+00:00,245.0,1.05,1.0,1.03,-0.38,-26.573427,1414.0,18127,0.43164630859375,False,REGULAR,USD
NVDA260717C00250000,2026-06-10 19:59:42+00:00,250.0,0.8,0.78,0.8,-0.40000004,-33.333336,7938.0,82253,0.4382380395507813,False,REGULAR,USD
NVDA260717C00255000,2026-06-10 19:54:54+00:00,255.0,0.63,0.61,0.65,-0.32,-33.68421,392.0,12795,0.44824770507812495,False,REGULAR,USD
NVDA260717C00260000,2026-06-10 19:57:11+00:00,260.0,0.53,0.5,0.53,-0.21000004,-28.378384,1462.0,24075,0.4580132324218751,False,REGULAR,USD
NVDA260717C00265000,2026-06-10 19:52:19+00:00,265.0,0.44,0.41,0.43,-0.14999998,-25.423727,169.0,17769,0.46680220703125,False,REGULAR,USD
