contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NVDA270917P00055000,2026-06-10 19:36:32+00:00,55.0,0.69,0.53,0.8,0.01999998,2.9850717,2.0,1690,0.5903361279296876,False,REGULAR,USD
NVDA270917P00060000,2026-06-10 16:27:23+00:00,60.0,0.75,0.68,0.96,-0.06999999,-8.536584,10.0,209,0.5725140405273439,False,REGULAR,USD
NVDA270917P00065000,2026-06-09 18:26:36+00:00,65.0,0.99,0.87,1.16,0.0,0.0,1.0,192,0.5576216113281252,False,REGULAR,USD
NVDA270917P00070000,2026-06-10 16:02:48+00:00,70.0,1.24,1.16,1.29,0.03999996,3.33333,65.0,389,0.5424850439453126,False,REGULAR,USD
NVDA270917P00075000,2026-06-10 19:07:47+00:00,75.0,1.5,1.42,1.59,0.100000024,7.1428585,175.0,114,0.5312546875,False,REGULAR,USD
NVDA270917P00080000,2026-06-10 19:07:48+00:00,80.0,1.81,1.67,1.92,0.119999886,7.1005845,16.0,178,0.518681571044922,False,REGULAR,USD
NVDA270917P00085000,2026-05-26 15:57:20+00:00,85.0,1.93,2.07,2.26,0.0,0.0,1.0,532,0.5089160437011719,False,REGULAR,USD
NVDA270917P00090000,2026-06-10 19:28:10+00:00,90.0,2.6,2.42,2.64,-0.07000017,-2.6217291,1.0,540,0.5023243127441408,False,REGULAR,USD
NVDA270917P00095000,2026-06-05 18:25:22+00:00,95.0,2.89,3.0,3.15,0.0,0.0,10.0,959,0.4946339599609375,False,REGULAR,USD
NVDA270917P00100000,2026-06-10 19:58:52+00:00,100.0,3.61,3.55,3.7,0.3599999,11.07692,20.0,1792,0.4863942962646485,False,REGULAR,USD
NVDA270917P00105000,2026-06-09 19:50:06+00:00,105.0,4.15,4.1,4.35,0.20000005,5.063292,1.0,508,0.4796804962158203,False,REGULAR,USD
NVDA270917P00110000,2026-06-09 16:44:08+00:00,110.0,4.85,4.8,5.05,-0.20000029,-3.9604015,1.0,863,0.4725394543457031,False,REGULAR,USD
NVDA270917P00115000,2026-06-10 16:20:36+00:00,115.0,5.65,5.6,5.85,-0.19999981,-3.4188,26.0,756,0.4663444479370118,False,REGULAR,USD
NVDA270917P00120000,2026-06-10 19:08:43+00:00,120.0,6.65,6.5,6.75,0.4500003,7.2580695,5.0,2001,0.46082082153320314,False,REGULAR,USD
NVDA270917P00125000,2026-06-10 19:08:44+00:00,125.0,7.6,7.5,7.75,-0.20000029,-2.5641062,30.0,1828,0.4557549542236329,False,REGULAR,USD
NVDA270917P00130000,2026-06-09 16:02:49+00:00,130.0,8.39,8.6,8.85,0.0,0.0,2.0,3424,0.45096374237060544,False,REGULAR,USD
NVDA270917P00135000,2026-06-10 16:55:37+00:00,135.0,9.68,9.8,10.05,-0.4699993,-4.630535,3.0,2499,0.4464166687011719,False,REGULAR,USD
NVDA270917P00140000,2026-06-10 15:09:23+00:00,140.0,10.9,11.1,11.3,-0.15000057,-1.3574712,3.0,3947,0.44113718048095707,False,REGULAR,USD
NVDA270917P00145000,2026-06-09 19:04:12+00:00,145.0,11.53,12.5,12.75,0.0,0.0,1.0,1610,0.43768872863769537,False,REGULAR,USD
NVDA270917P00150000,2026-06-10 18:47:09+00:00,150.0,14.0,14.0,14.25,-0.19999981,-1.4084494,54.0,3682,0.4334468276977539,False,REGULAR,USD
NVDA270917P00155000,2026-06-09 16:55:34+00:00,155.0,15.37,15.65,15.9,-0.6199999,-3.8774228,1.0,663,0.42996785858154296,False,REGULAR,USD
NVDA270917P00160000,2026-06-09 18:17:14+00:00,160.0,17.18,17.4,18.0,0.5300007,3.1831875,1.0,766,0.43140217041015627,False,REGULAR,USD
NVDA270917P00165000,2026-06-09 17:42:49+00:00,165.0,18.56,19.25,19.5,0.0,0.0,31.0,826,0.422857333984375,False,REGULAR,USD
NVDA270917P00170000,2026-06-10 19:33:19+00:00,170.0,21.37,21.2,21.9,0.6700001,3.2367153,18.0,1452,0.4251461294555664,False,REGULAR,USD
NVDA270917P00175000,2026-06-10 19:10:20+00:00,175.0,23.35,23.3,23.65,1.8999996,8.857807,70.0,839,0.4174557766723632,False,REGULAR,USD
NVDA270917P00180000,2026-06-10 18:59:02+00:00,180.0,25.5,25.5,25.8,0.54999924,2.2044058,152.0,5490,0.41370215209960937,False,REGULAR,USD
NVDA270917P00185000,2026-06-10 17:55:07+00:00,185.0,27.2,27.8,29.5,0.8200016,3.1084216,11.0,1402,0.4273586317443848,False,REGULAR,USD
NVDA270917P00190000,2026-06-10 17:55:07+00:00,190.0,29.55,30.2,31.35,-0.050001144,-0.16892278,10.0,1059,0.4173031903076171,False,REGULAR,USD
NVDA270917P00195000,2026-06-10 18:26:12+00:00,195.0,32.15,32.75,33.35,-0.5,-1.5313935,51.0,625,0.40808697387695314,False,REGULAR,USD
NVDA270917P00200000,2026-06-10 15:51:43+00:00,200.0,35.0,35.35,36.3,1.7200012,5.168273,4.0,2932,0.4087430952453613,False,REGULAR,USD
NVDA270917P00205000,2026-06-10 17:42:34+00:00,205.0,37.58,38.1,38.5,-0.76999664,-2.007814,2.0,512,0.3997557583618164,True,REGULAR,USD
NVDA270917P00210000,2026-06-10 17:53:38+00:00,210.0,40.2,40.95,41.95,1.5800018,4.0911493,33.0,1098,0.4037382624816895,True,REGULAR,USD
NVDA270917P00215000,2026-06-08 15:56:03+00:00,215.0,40.82,43.85,44.25,0.0,0.0,1.0,558,0.39380489013671877,True,REGULAR,USD
NVDA270917P00220000,2026-06-10 18:07:42+00:00,220.0,45.9,46.9,48.35,1.5400009,3.4715981,13.0,583,0.4028074856567383,True,REGULAR,USD
NVDA270917P00225000,2026-06-03 13:43:07+00:00,225.0,42.77,50.0,50.45,0.0,0.0,2.0,333,0.38861695373535154,True,REGULAR,USD
NVDA270917P00230000,2026-06-10 17:50:24+00:00,230.0,52.2,53.25,54.3,1.5900002,3.141672,3.0,138,0.39282833740234374,True,REGULAR,USD
NVDA270917P00235000,2026-06-05 13:59:24+00:00,235.0,51.03,56.5,57.35,0.0,0.0,1.0,146,0.38718264190673823,True,REGULAR,USD
NVDA270917P00240000,2026-06-09 14:43:43+00:00,240.0,56.85,59.6,60.75,0.0,0.0,13.0,255,0.38448186325073236,True,REGULAR,USD
NVDA270917P00245000,2026-06-05 14:45:43+00:00,245.0,58.02,63.05,63.85,0.0,0.0,74.0,199,0.377386597290039,True,REGULAR,USD
NVDA270917P00250000,2026-06-09 15:31:44+00:00,250.0,65.5,66.6,67.5,0.0,0.0,2.0,1422,0.375631854095459,True,REGULAR,USD
NVDA270917P00255000,2026-06-03 14:33:12+00:00,255.0,63.19,70.2,71.25,0.0,0.0,10.0,97,0.37415176635742187,True,REGULAR,USD
NVDA270917P00260000,2026-06-02 16:18:13+00:00,260.0,62.15,73.65,74.8,0.0,0.0,1.0,52,0.36936055450439453,True,REGULAR,USD
NVDA270917P00265000,2026-06-08 14:14:35+00:00,265.0,74.7,73.25,74.4,0.0,0.0,30.0,45,0.31284256500244134,True,REGULAR,USD
NVDA270917P00270000,2026-06-08 14:44:59+00:00,270.0,77.65,81.4,82.7,0.0,0.0,40.0,123,0.36685813812255863,True,REGULAR,USD
NVDA270917P00275000,2026-06-08 14:14:43+00:00,275.0,82.2,85.4,86.4,0.0,0.0,22.0,81,0.3611208908081054,True,REGULAR,USD
NVDA270917P00280000,2026-06-08 17:31:29+00:00,280.0,84.9,89.65,90.9,0.0,0.0,30.0,551,0.3650118431091309,True,REGULAR,USD
NVDA270917P00285000,2026-06-05 15:09:11+00:00,285.0,88.05,92.95,94.7,0.0,0.0,2.0,106,0.35880157806396484,True,REGULAR,USD
NVDA270917P00290000,2026-06-08 18:49:21+00:00,290.0,92.53,97.15,98.6,0.0,0.0,81.0,205,0.3528507098388671,True,REGULAR,USD
NVDA270917P00295000,2026-05-22 14:58:32+00:00,295.0,90.4,99.85,102.8,0.0,0.0,46.0,958,0.35028725891113277,True,REGULAR,USD
NVDA270917P00300000,2026-06-10 18:54:28+00:00,300.0,106.22,105.65,109.35,-0.51000214,-0.47784325,25.0,894,0.3820252227783203,True,REGULAR,USD
NVDA270917P00310000,2026-05-26 16:57:54+00:00,310.0,105.4,112.45,116.25,0.0,0.0,37.0,909,0.35147743255615227,True,REGULAR,USD
NVDA270917P00320000,2026-05-22 16:39:04+00:00,320.0,111.15,122.25,124.95,0.0,0.0,21.0,2693,0.34430587341308594,True,REGULAR,USD
NVDA270917P00330000,2026-05-27 15:36:08+00:00,330.0,125.0,131.05,133.7,0.0,0.0,15.0,1270,0.3341436215209961,True,REGULAR,USD
NVDA270917P00340000,2026-04-14 18:04:23+00:00,340.0,146.29,121.65,125.05,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
NVDA270917P00350000,2026-06-08 19:45:32+00:00,350.0,145.1,149.0,152.7,0.0,0.0,2.0,4,0.33731741790771486,True,REGULAR,USD
NVDA270917P00360000,2026-06-09 14:29:23+00:00,360.0,155.47,158.2,162.2,0.0,0.0,3.0,106,0.3360662097167969,True,REGULAR,USD
NVDA270917P00370000,2026-06-05 16:31:42+00:00,370.0,163.25,168.1,171.8,0.0,0.0,2.0,1,0.33563896789550784,True,REGULAR,USD
NVDA270917P00380000,2026-05-14 13:33:08+00:00,380.0,153.2,177.6,181.4,0.0,0.0,3.0,0,0.33313655151367194,True,REGULAR,USD
NVDA270917P00390000,2026-05-14 13:32:59+00:00,390.0,162.3,187.6,190.95,0.0,0.0,3.0,0,0.32605654418945307,True,REGULAR,USD
NVDA270917P00400000,2026-06-01 17:17:47+00:00,400.0,180.31,197.4,200.9,0.0,0.0,3.0,19,0.3334417242431641,True,REGULAR,USD
NVDA270917P00410000,2026-05-21 19:05:11+00:00,410.0,191.37,207.3,211.0,0.0,0.0,3.0,3,0.3469303588867187,True,REGULAR,USD
NVDA270917P00460000,2026-05-28 14:05:31+00:00,460.0,245.85,257.25,263.0,0.0,0.0,,0,0.4573418524169922,True,REGULAR,USD
