contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY261218C00150000,2026-05-19 14:48:45+00:00,150.0,582.55,573.28,577.16,0.0,0.0,2,4,1.0551805053710939,True,REGULAR,USD
SPY261218C00200000,2026-06-10 18:55:51+00:00,200.0,528.59,524.36,528.24,-30.139954,-5.3943686,36,713,0.7854025366210937,True,REGULAR,USD
SPY261218C00210000,2026-05-04 14:48:30+00:00,210.0,513.86,529.01,532.46,0.0,0.0,2,383,1.306155812988281,True,REGULAR,USD
SPY261218C00220000,2026-05-07 13:51:31+00:00,220.0,515.9,519.23,522.72,0.0,0.0,71,82,1.2656897067260742,True,REGULAR,USD
SPY261218C00230000,2026-05-11 13:30:01+00:00,230.0,509.19,495.15,499.03,0.0,0.0,1,14,0.7727073510742188,True,REGULAR,USD
SPY261218C00240000,2026-05-15 13:34:13+00:00,240.0,501.9,485.42,489.01,0.0,0.0,12,27,0.7541528491210938,True,REGULAR,USD
SPY261218C00245000,2025-09-16 17:55:22+00:00,245.0,422.0,424.91,428.79,0.0,0.0,4,21,1.0000000000000003e-05,True,REGULAR,USD
SPY261218C00250000,2026-06-10 19:25:36+00:00,250.0,478.91,475.69,479.57,-8.339996,-1.7116462,1,149,0.7530542272949219,True,REGULAR,USD
SPY261218C00255000,2026-04-08 15:41:39+00:00,255.0,423.67,484.6,487.7,0.0,0.0,1,4,1.12521799697876,True,REGULAR,USD
SPY261218C00260000,2026-05-15 13:30:11+00:00,260.0,485.02,466.0,469.56,0.0,0.0,1,15,0.7352321398925781,True,REGULAR,USD
SPY261218C00265000,2026-01-02 15:03:32+00:00,265.0,427.58,430.6,434.44,0.0,0.0,2,120,1.0000000000000003e-05,True,REGULAR,USD
SPY261218C00270000,2026-05-19 13:46:57+00:00,270.0,466.5,456.25,459.84,0.0,0.0,1,63,0.7231472998046875,True,REGULAR,USD
SPY261218C00275000,2026-05-01 17:52:50+00:00,275.0,452.18,465.69,469.17,0.0,0.0,4,126,1.0759323547363282,True,REGULAR,USD
SPY261218C00280000,2026-04-17 18:42:52+00:00,280.0,435.2,460.84,464.31,0.0,0.0,1,56,1.0608872639465332,True,REGULAR,USD
SPY261218C00285000,2025-08-05 14:43:07+00:00,285.0,353.65,385.58,389.46,0.0,0.0,2,103,1.0000000000000003e-05,True,REGULAR,USD
SPY261218C00290000,2026-04-02 14:35:18+00:00,290.0,369.0,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
SPY261218C00295000,2026-01-13 20:24:47+00:00,295.0,404.0,393.0,397.73,0.0,0.0,1,78,1.0000000000000003e-05,True,REGULAR,USD
SPY261218C00300000,2026-06-09 13:45:38+00:00,300.0,449.21,427.11,430.71,0.0,0.0,1,242,0.686648641357422,True,REGULAR,USD
SPY261218C00305000,2026-05-20 14:35:29+00:00,305.0,437.57,422.26,426.12,0.0,0.0,2,6,0.6849396740722657,True,REGULAR,USD
SPY261218C00310000,2026-06-04 13:45:56+00:00,310.0,446.05,417.5,421.0,0.0,0.0,1,69,0.6753572503662111,True,REGULAR,USD
SPY261218C00315000,2026-06-05 19:51:02+00:00,315.0,428.75,412.55,416.25,0.0,0.0,26,141,0.6688875885009766,True,REGULAR,USD
