contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260618P00245000,2026-06-08 19:06:32+00:00,245.0,0.01,0.0,0.01,-0.01,-50.0,1.0,42786,1.9375003125,False,REGULAR,USD
SPY260618P00250000,2026-06-09 18:04:38+00:00,250.0,0.01,0.0,0.01,0.0,0.0,10.0,29206,1.875000625,False,REGULAR,USD
SPY260618P00255000,2026-06-09 15:58:09+00:00,255.0,0.01,0.0,0.01,0.0,0.0,1.0,5371,1.875000625,False,REGULAR,USD
SPY260618P00260000,2026-05-20 16:25:48+00:00,260.0,0.01,0.0,0.01,0.0,0.0,5.0,5775,1.8125009374999999,False,REGULAR,USD
SPY260618P00265000,2026-06-02 19:41:11+00:00,265.0,0.01,0.0,0.01,0.0,0.0,5.0,2949,1.78125109375,False,REGULAR,USD
SPY260618P00270000,2026-05-18 18:33:00+00:00,270.0,0.01,0.0,0.01,0.0,0.0,1276.0,10339,1.75000125,False,REGULAR,USD
SPY260618P00275000,2026-06-05 18:13:37+00:00,275.0,0.01,0.0,0.01,0.0,0.0,1.0,5639,1.71875140625,False,REGULAR,USD
SPY260618P00280000,2026-05-29 13:51:22+00:00,280.0,0.01,0.0,0.01,0.0,0.0,10.0,5095,1.6875015625,False,REGULAR,USD
SPY260618P00285000,2026-05-19 14:26:04+00:00,285.0,0.01,0.0,0.01,0.0,0.0,14.0,5450,1.65625171875,False,REGULAR,USD
SPY260618P00290000,2026-05-20 19:05:17+00:00,290.0,0.01,0.0,0.01,0.0,0.0,225.0,5276,1.625001875,False,REGULAR,USD
SPY260618P00295000,2026-06-08 13:56:17+00:00,295.0,0.01,0.0,0.01,0.0,0.0,10.0,7080,1.5937520312499998,False,REGULAR,USD
SPY260618P00300000,2026-06-09 18:04:38+00:00,300.0,0.01,0.0,0.01,0.0,0.0,5.0,26796,1.5625021874999998,False,REGULAR,USD
SPY260618P00305000,2026-06-01 13:46:35+00:00,305.0,0.01,0.0,0.01,0.0,0.0,2.0,5022,1.5625021874999998,False,REGULAR,USD
SPY260618P00310000,2026-06-05 20:13:41+00:00,310.0,0.01,0.0,0.01,0.0,0.0,15.0,4512,1.5000025,False,REGULAR,USD
SPY260618P00315000,2026-05-20 16:14:46+00:00,315.0,0.01,0.0,0.01,0.0,0.0,1685.0,2090,1.5000025,False,REGULAR,USD
SPY260618P00320000,2026-06-05 20:12:43+00:00,320.0,0.01,0.0,0.01,0.0,0.0,87.0,2312,1.46875265625,False,REGULAR,USD
SPY260618P00325000,2026-06-05 20:14:05+00:00,325.0,0.01,0.0,0.01,0.0,0.0,130.0,4588,1.4375028125,False,REGULAR,USD
SPY260618P00330000,2026-06-05 19:57:00+00:00,330.0,0.03,0.0,0.01,0.0,0.0,1.0,9258,1.40625296875,False,REGULAR,USD
SPY260618P00335000,2026-06-05 20:05:02+00:00,335.0,0.01,0.0,0.01,0.0,0.0,28.0,7842,1.3750031249999999,False,REGULAR,USD
SPY260618P00340000,2026-06-10 18:38:34+00:00,340.0,0.01,0.0,0.01,0.0,0.0,46.0,3189,1.3750031249999999,False,REGULAR,USD
SPY260618P00345000,2026-06-10 19:46:19+00:00,345.0,0.01,0.0,0.01,0.0,0.0,804.0,5967,1.3437532812499997,False,REGULAR,USD
SPY260618P00350000,2026-06-10 20:02:16+00:00,350.0,0.01,0.0,0.01,-0.01,-50.0,371.0,15210,1.3125034374999998,False,REGULAR,USD
SPY260618P00355000,2026-05-29 19:13:50+00:00,355.0,0.01,0.0,0.01,0.0,0.0,7.0,3091,1.2812535937499998,False,REGULAR,USD
SPY260618P00360000,2026-06-10 19:00:16+00:00,360.0,0.01,0.0,0.01,0.0,0.0,3.0,11019,1.2500037499999999,False,REGULAR,USD
SPY260618P00365000,2026-06-10 19:17:23+00:00,365.0,0.01,0.0,0.01,0.0,0.0,7.0,1931,1.2500037499999999,False,REGULAR,USD
SPY260618P00370000,2026-06-10 19:55:56+00:00,370.0,0.01,0.0,0.02,0.0,0.0,36.0,1422,1.2656286718749998,False,REGULAR,USD
SPY260618P00375000,2026-06-10 20:09:54+00:00,375.0,0.01,0.01,0.02,0.0,0.0,11.0,3512,1.2812535937499998,False,REGULAR,USD
SPY260618P00380000,2026-06-08 18:03:06+00:00,380.0,0.01,0.01,0.02,0.0,0.0,2.0,1325,1.2656286718749998,False,REGULAR,USD
SPY260618P00385000,2026-06-09 16:50:04+00:00,385.0,0.01,0.01,0.02,0.0,0.0,1.0,9547,1.2343788281249999,False,REGULAR,USD
SPY260618P00390000,2026-06-09 17:02:39+00:00,390.0,0.02,0.01,0.02,0.01,100.0,5.0,7377,1.21875390625,False,REGULAR,USD
SPY260618P00395000,2026-06-10 19:34:56+00:00,395.0,0.03,0.01,0.02,0.02,200.0,10.0,4836,1.1875040625,False,REGULAR,USD
SPY260618P00400000,2026-06-10 19:44:12+00:00,400.0,0.02,0.01,0.02,0.01,100.0,77.0,22050,1.1640666796875,False,REGULAR,USD
SPY260618P00405000,2026-06-10 19:34:56+00:00,405.0,0.03,0.01,0.02,0.02,200.0,10.0,5291,1.140629296875,False,REGULAR,USD
SPY260618P00410000,2026-06-09 19:37:18+00:00,410.0,0.02,0.01,0.02,0.01,100.0,5.0,5153,1.125004375,False,REGULAR,USD
SPY260618P00415000,2026-06-10 20:09:59+00:00,415.0,0.02,0.01,0.03,0.0,0.0,370.0,7340,1.125004375,False,REGULAR,USD
SPY260618P00420000,2026-06-10 19:35:25+00:00,420.0,0.03,0.02,0.03,0.01,50.0,97.0,15752,1.1171919140625,False,REGULAR,USD
SPY260618P00425000,2026-06-10 14:48:30+00:00,425.0,0.03,0.02,0.03,0.02,200.0,25.0,26044,1.09375453125,False,REGULAR,USD
SPY260618P00430000,2026-06-10 15:54:42+00:00,430.0,0.03,0.02,0.03,0.01,50.0,4.0,7790,1.0742233789062503,False,REGULAR,USD
SPY260618P00435000,2026-06-10 19:42:57+00:00,435.0,0.04,0.02,0.03,0.03,300.0,301.0,8414,1.0546922265625,False,REGULAR,USD
SPY260618P00440000,2026-06-10 15:02:31+00:00,440.0,0.04,0.02,0.04,0.01,33.333336,248.0,7510,1.0468797656250002,False,REGULAR,USD
SPY260618P00445000,2026-06-10 19:34:56+00:00,445.0,0.03,0.03,0.04,0.01,50.0,60.0,10887,1.0390673046875003,False,REGULAR,USD
SPY260618P00450000,2026-06-10 19:51:16+00:00,450.0,0.03,0.03,0.04,0.01,50.0,547.0,26702,1.015629921875,False,REGULAR,USD
SPY260618P00455000,2026-06-10 19:34:56+00:00,455.0,0.04,0.03,0.04,0.02,100.0,248.0,11445,0.992187578125,False,REGULAR,USD
SPY260618P00460000,2026-06-10 19:50:38+00:00,460.0,0.04,0.03,0.04,0.01,33.333336,434.0,7789,0.9687503125,False,REGULAR,USD
SPY260618P00465000,2026-06-10 19:34:56+00:00,465.0,0.05,0.04,0.05,0.030000001,150.0,9.0,3358,0.9726565234375,False,REGULAR,USD
SPY260618P00470000,2026-06-10 15:49:59+00:00,470.0,0.06,0.04,0.05,0.04,200.0,61.0,5866,0.9492192578124999,False,REGULAR,USD
SPY260618P00475000,2026-06-10 19:34:57+00:00,475.0,0.06,0.04,0.05,0.03,100.0,210.0,6081,0.9257819921875,False,REGULAR,USD
SPY260618P00480000,2026-06-10 19:57:37+00:00,480.0,0.05,0.05,0.06,0.020000001,66.66668,316.0,113619,0.92187578125,False,REGULAR,USD
SPY260618P00485000,2026-06-10 19:34:56+00:00,485.0,0.06,0.05,0.06,0.03,100.0,321.0,9400,0.9023447265625,False,REGULAR,USD
SPY260618P00490000,2026-06-10 19:10:26+00:00,490.0,0.07,0.06,0.07,0.04,133.33333,1323.0,3298,0.8945323046874999,False,REGULAR,USD
SPY260618P00495000,2026-06-10 19:34:57+00:00,495.0,0.07,0.06,0.07,0.030000001,75.0,401.0,3183,0.8730481445312499,False,REGULAR,USD
SPY260618P00500000,2026-06-10 20:08:41+00:00,500.0,0.07,0.07,0.08,0.030000001,75.0,1786.0,36172,0.8632826171875,False,REGULAR,USD
SPY260618P00505000,2026-06-10 19:34:56+00:00,505.0,0.09,0.07,0.08,0.040000003,80.00001,119.0,5705,0.8437515624999999,False,REGULAR,USD
SPY260618P00510000,2026-06-10 19:58:17+00:00,510.0,0.08,0.08,0.09,0.02,33.333336,112.0,9362,0.8320329296874999,False,REGULAR,USD
SPY260618P00515000,2026-06-10 19:34:56+00:00,515.0,0.1,0.08,0.1,0.040000003,66.66668,1886.0,6622,0.8164080859374999,False,REGULAR,USD
SPY260618P00520000,2026-06-10 18:57:41+00:00,520.0,0.1,0.09,0.1,0.040000003,66.66668,15.0,14171,0.79883013671875,False,REGULAR,USD
SPY260618P00525000,2026-06-10 19:57:44+00:00,525.0,0.1,0.1,0.11,0.020000003,25.000004,17.0,8506,0.78711150390625,False,REGULAR,USD
