contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
TSLA270917C00110000,2026-05-18 16:38:30+00:00,110.0,310.4,278.8,285.75,0.0,0.0,,1,0.9129037030029297,True,REGULAR,USD
TSLA270917C00115000,2026-05-18 17:12:35+00:00,115.0,305.15,274.4,281.35,0.0,0.0,,63,0.8970957556152341,True,REGULAR,USD
TSLA270917C00120000,2026-06-09 14:00:50+00:00,120.0,302.93,270.15,276.7,0.0,0.0,4.0,45,0.8804333245849607,True,REGULAR,USD
TSLA270917C00130000,2026-05-18 16:36:58+00:00,130.0,292.35,261.95,267.6,0.0,0.0,,11,0.8535170898437501,True,REGULAR,USD
TSLA270917C00135000,2026-06-10 19:14:35+00:00,135.0,260.42,258.3,261.6,-10.699982,-3.9465852,1.0,1,0.8302018933105468,True,REGULAR,USD
TSLA270917C00140000,2026-06-09 19:59:37+00:00,140.0,270.18,253.65,258.5,0.0,0.0,1.0,19,0.8261736132812498,True,REGULAR,USD
TSLA270917C00145000,2026-06-05 19:47:45+00:00,145.0,262.2,249.65,254.05,0.0,0.0,3.0,4,0.8150653259277343,True,REGULAR,USD
TSLA270917C00150000,2026-05-18 17:14:41+00:00,150.0,273.66,244.7,249.35,0.0,0.0,,1,0.7933675448608398,True,REGULAR,USD
TSLA270917C00155000,2026-05-18 17:14:40+00:00,155.0,269.3,240.8,245.15,0.0,0.0,,1,0.7856161575317383,True,REGULAR,USD
TSLA270917C00160000,2026-06-04 18:40:19+00:00,160.0,275.2,236.85,240.6,0.0,0.0,2.0,2,0.7743552838134766,True,REGULAR,USD
TSLA270917C00165000,2026-05-18 17:14:37+00:00,165.0,260.75,232.65,237.75,0.0,0.0,,2,0.7743858010864259,True,REGULAR,USD
TSLA270917C00170000,2026-05-19 14:27:16+00:00,170.0,243.9,228.75,232.2,0.0,0.0,,4,0.7557092300415039,True,REGULAR,USD
TSLA270917C00175000,2026-05-18 17:14:35+00:00,175.0,252.3,224.75,229.35,0.0,0.0,,16,0.75625854095459,True,REGULAR,USD
TSLA270917C00180000,2026-06-05 17:39:14+00:00,180.0,236.8,220.35,223.95,0.0,0.0,3.0,14,0.735628864440918,True,REGULAR,USD
TSLA270917C00185000,2026-05-18 17:14:33+00:00,185.0,243.9,216.6,221.4,0.0,0.0,,2,0.7390773162841795,True,REGULAR,USD
TSLA270917C00190000,2026-06-01 14:26:05+00:00,190.0,252.73,212.45,215.9,0.0,0.0,3.0,13,0.7200040206909181,True,REGULAR,USD
TSLA270917C00195000,2026-05-18 17:39:57+00:00,195.0,233.9,208.5,211.95,0.0,0.0,,32,0.7124204783630372,True,REGULAR,USD
TSLA270917C00210000,2026-05-21 15:58:47+00:00,210.0,231.88,196.8,200.4,0.0,0.0,,8,0.6913177841186525,True,REGULAR,USD
TSLA270917C00220000,2026-06-10 13:30:05+00:00,220.0,200.06,189.65,192.95,0.2599945,0.13012739,1.0,1,0.681216566772461,True,REGULAR,USD
TSLA270917C00230000,2026-06-08 19:19:41+00:00,230.0,209.1,182.35,185.15,0.0,0.0,6.0,23,0.6675143112182619,True,REGULAR,USD
TSLA270917C00240000,2026-06-05 19:56:53+00:00,240.0,185.99,175.2,178.05,0.0,0.0,9.0,10,0.6572757661437989,True,REGULAR,USD
TSLA270917C00250000,2026-06-09 17:50:28+00:00,250.0,179.48,168.3,171.1,0.0,0.0,1.0,13,0.6479374806213378,True,REGULAR,USD
TSLA270917C00260000,2026-06-09 17:47:52+00:00,260.0,172.45,161.5,164.5,0.0,0.0,20.0,20,0.6395910064697266,True,REGULAR,USD
TSLA270917C00270000,2026-06-10 14:38:37+00:00,270.0,162.65,155.05,158.0,-3.0700073,-1.8525268,1.0,28,0.6321142745971681,True,REGULAR,USD
TSLA270917C00280000,2026-06-10 14:40:59+00:00,280.0,149.12,149.4,151.0,-26.279999,-14.982897,2.0,14,0.6248206463623047,True,REGULAR,USD
TSLA270917C00290000,2026-06-10 19:26:10+00:00,290.0,143.42,143.15,144.95,-12.080002,-7.7684903,2.0,6,0.6178779667663574,True,REGULAR,USD
TSLA270917C00300000,2026-06-10 16:12:45+00:00,300.0,139.85,137.35,138.95,-4.049988,-2.8144462,31.0,111,0.6118202880859377,True,REGULAR,USD
TSLA270917C00310000,2026-06-08 17:07:53+00:00,310.0,152.15,131.05,134.15,0.0,0.0,2.0,4,0.607273214416504,True,REGULAR,USD
TSLA270917C00320000,2026-06-10 18:56:07+00:00,320.0,127.4,126.3,127.85,-7.920006,-5.8527975,1.0,3,0.6018716571044924,True,REGULAR,USD
TSLA270917C00330000,2026-06-09 18:04:48+00:00,330.0,122.55,121.0,122.6,-9.399994,-7.123906,1.0,66,0.5972177729797363,True,REGULAR,USD
TSLA270917C00340000,2026-06-10 18:18:21+00:00,340.0,118.25,116.35,117.3,-9.550003,-7.4726157,3.0,9,0.593601476135254,True,REGULAR,USD
TSLA270917C00350000,2026-06-09 17:09:10+00:00,350.0,117.55,111.0,112.95,0.0,0.0,103.0,54,0.5898325929260255,True,REGULAR,USD
TSLA270917C00360000,2026-06-10 16:21:18+00:00,360.0,109.0,106.8,107.95,-2.5899963,-2.3209932,1.0,4,0.5867350897216796,True,REGULAR,USD
TSLA270917C00370000,2026-06-10 19:25:56+00:00,370.0,102.35,102.4,103.45,-9.690002,-8.648699,2.0,11,0.5836681037902831,True,REGULAR,USD
TSLA270917C00380000,2026-06-10 19:48:57+00:00,380.0,98.73,98.15,99.2,-9.949997,-9.155315,15.0,12,0.5809673251342774,True,REGULAR,USD
TSLA270917C00390000,2026-06-10 18:50:42+00:00,390.0,95.25,94.05,95.1,-3.75,-3.7878788,24.0,17,0.5783123223876954,False,REGULAR,USD
TSLA270917C00400000,2026-06-10 19:29:39+00:00,400.0,90.55,90.2,91.25,-9.149994,-9.177526,55.0,74,0.576351587600708,False,REGULAR,USD
TSLA270917C00410000,2026-06-10 16:39:32+00:00,410.0,88.77,86.45,87.5,-5.8199997,-6.1528707,10.0,54,0.5741772319030762,False,REGULAR,USD
TSLA270917C00420000,2026-06-10 18:40:07+00:00,420.0,84.32,82.95,83.95,-6.550003,-7.2081027,34.0,82,0.5725598164367678,False,REGULAR,USD
TSLA270917C00430000,2026-06-10 16:33:34+00:00,430.0,81.0,79.55,80.55,-6.199997,-7.1100883,11.0,109,0.5709271423339843,False,REGULAR,USD
TSLA270917C00440000,2026-06-10 18:50:06+00:00,440.0,77.4,76.6,77.3,-4.0999985,-5.030673,8.0,79,0.570316796875,False,REGULAR,USD
TSLA270917C00450000,2026-06-10 19:21:10+00:00,450.0,74.05,73.3,74.25,-7.8499985,-9.584858,4.0,114,0.5685773123168946,False,REGULAR,USD
TSLA270917C00460000,2026-06-10 19:21:10+00:00,460.0,70.47,70.3,71.3,-7.779999,-9.942491,5.0,25,0.5673184748077392,False,REGULAR,USD
TSLA270917C00470000,2026-06-10 17:01:49+00:00,470.0,68.79,67.9,68.55,-5.9799957,-7.9978547,2.0,37,0.5677380873107911,False,REGULAR,USD
TSLA270917C00480000,2026-06-10 15:08:38+00:00,480.0,65.82,65.2,65.85,-8.519997,-11.460851,8.0,32,0.5668073104858399,False,REGULAR,USD
TSLA270917C00490000,2026-06-10 19:03:42+00:00,490.0,63.4,62.7,63.35,-6.189995,-8.89495,7.0,22,0.5664411032104493,False,REGULAR,USD
TSLA270917C00500000,2026-06-10 16:24:35+00:00,500.0,61.47,60.3,61.05,-4.7999954,-7.2430897,1.0,119,0.5663648100280763,False,REGULAR,USD
TSLA270917C00510000,2026-06-09 15:59:36+00:00,510.0,62.5,57.9,59.1,0.0,0.0,5.0,24,0.5667615345764161,False,REGULAR,USD
TSLA270917C00520000,2026-06-09 18:58:17+00:00,520.0,62.45,55.7,56.9,0.0,0.0,101.0,231,0.5664868791198729,False,REGULAR,USD
TSLA270917C00530000,2026-06-09 18:19:35+00:00,530.0,59.87,53.7,54.8,0.0,0.0,7.0,68,0.5665784309387207,False,REGULAR,USD
TSLA270917C00540000,2026-06-09 14:51:14+00:00,540.0,59.6,51.45,52.8,0.0,0.0,2.0,25,0.5657239472961426,False,REGULAR,USD
TSLA270917C00550000,2026-06-10 19:26:04+00:00,550.0,50.25,49.8,50.45,-6.9300003,-12.119622,6.0,52,0.5651288604736329,False,REGULAR,USD
TSLA270917C00560000,2026-06-09 15:05:23+00:00,560.0,55.3,47.85,49.1,0.0,0.0,1.0,27,0.5661817063903809,False,REGULAR,USD
TSLA270917C00570000,2026-06-10 15:42:44+00:00,570.0,48.14,46.3,46.9,-0.26000214,-0.5371945,8.0,34,0.5654416625213624,False,REGULAR,USD
TSLA270917C00580000,2026-06-10 19:44:43+00:00,580.0,45.4,44.3,45.25,-3.3499985,-6.871792,5.0,12,0.5645642909240725,False,REGULAR,USD
TSLA270917C00590000,2026-06-10 19:44:45+00:00,590.0,43.8,43.05,43.7,-12.07,-21.603724,8.0,45,0.5658917922973633,False,REGULAR,USD
TSLA270917C00600000,2026-06-10 14:55:28+00:00,600.0,43.13,41.25,42.15,-3.5999985,-7.7038274,13.0,106,0.5651136018371583,False,REGULAR,USD
TSLA270917C00610000,2026-06-10 19:43:49+00:00,610.0,40.95,40.05,40.75,-9.139999,-18.247154,10.0,25,0.5663037754821778,False,REGULAR,USD
TSLA270917C00620000,2026-06-10 13:35:07+00:00,620.0,42.0,38.75,39.35,-1.1199989,-2.5974002,5.0,37,0.5668301984405518,False,REGULAR,USD
TSLA270917C00630000,2026-06-10 19:46:11+00:00,630.0,37.9,37.45,38.05,-3.25,-7.897934,5.0,18,0.5673261041259765,False,REGULAR,USD
TSLA270917C00640000,2026-06-10 19:46:17+00:00,640.0,36.7,36.2,36.8,-3.5099983,-8.729168,8.0,49,0.5678143804931641,False,REGULAR,USD
TSLA270917C00650000,2026-06-10 19:43:40+00:00,650.0,35.65,35.0,35.6,-3.2999992,-8.472399,2.0,8,0.568287398223877,False,REGULAR,USD
TSLA270917C00670000,2026-06-05 18:42:42+00:00,670.0,33.35,32.75,33.4,-2.050003,-5.790969,7.0,6,0.5694928305053711,False,REGULAR,USD
TSLA270917C00680000,2026-06-10 19:44:12+00:00,680.0,32.35,31.65,32.3,-3.3900032,-9.485179,5.0,17,0.5697217100524903,False,REGULAR,USD
TSLA270917C00690000,2026-06-10 15:59:32+00:00,690.0,31.84,30.45,31.75,-1.4099998,-4.240601,5.0,11,0.5712323150634766,False,REGULAR,USD
TSLA270917C00700000,2026-06-09 19:59:31+00:00,700.0,33.28,29.55,30.7,0.0,0.0,5.0,54,0.5717816259765626,False,REGULAR,USD
TSLA270917C00710000,2026-06-10 19:13:03+00:00,710.0,29.3,28.85,29.45,-3.1500015,-9.707247,1.0,48,0.5720562814331055,False,REGULAR,USD
TSLA270917C00720000,2026-06-09 19:40:22+00:00,720.0,30.89,27.7,28.9,0.0,0.0,2.0,9,0.5729717996215821,False,REGULAR,USD
TSLA270917C00730000,2026-06-09 19:40:19+00:00,730.0,30.01,26.85,28.05,0.0,0.0,2.0,21,0.5736431796264648,False,REGULAR,USD
TSLA270917C00740000,2026-06-10 14:20:21+00:00,740.0,28.05,26.25,26.9,-1.0400009,-3.575115,19.0,158,0.5738873178100586,False,REGULAR,USD
TSLA270917C00750000,2026-06-10 17:46:24+00:00,750.0,26.22,25.5,26.1,-2.0300007,-7.185843,3.0,47,0.5746349909973145,False,REGULAR,USD
TSLA270917C00760000,2026-06-04 18:17:58+00:00,760.0,32.66,24.5,25.75,0.0,0.0,1.0,17,0.5759167164611816,False,REGULAR,USD
TSLA270917C00770000,2026-06-09 17:01:57+00:00,770.0,25.47,23.45,24.9,0.0,0.0,1.0,159,0.5748791291809083,False,REGULAR,USD
TSLA270917C00780000,2026-05-18 17:44:11+00:00,780.0,27.72,22.95,24.35,0.0,0.0,,59,0.5769085278320312,False,REGULAR,USD
TSLA270917C00790000,2026-05-19 17:20:14+00:00,790.0,25.85,22.25,23.7,0.0,0.0,,4,0.5775799078369142,False,REGULAR,USD
TSLA270917C00800000,2026-06-10 18:05:16+00:00,800.0,22.84,22.1,22.65,-2.459999,-9.723317,13.0,221,0.5786480123901367,False,REGULAR,USD
TSLA270917C00810000,2026-06-01 19:11:08+00:00,810.0,27.15,21.35,22.45,0.0,0.0,1.0,70,0.5805553419494629,False,REGULAR,USD
TSLA270917C00820000,2026-06-09 19:40:21+00:00,820.0,23.22,20.3,21.8,0.0,0.0,2.0,3,0.5791973233032227,False,REGULAR,USD
TSLA270917C00830000,2026-06-08 16:20:14+00:00,830.0,24.49,20.2,21.3,0.0,0.0,1.0,2,0.5822337919616698,False,REGULAR,USD
TSLA270917C00840000,2026-06-09 19:40:19+00:00,840.0,20.41,19.9,20.4,-1.6900005,-7.6470613,1.0,23,0.5825999992370605,False,REGULAR,USD
TSLA270917C00850000,2026-06-09 19:40:19+00:00,850.0,21.5,19.15,20.1,0.0,0.0,4.0,8,0.5834239656066895,False,REGULAR,USD
TSLA270917C00860000,2026-06-10 14:48:28+00:00,860.0,19.3,18.8,19.4,-1.6500015,-7.875902,2.0,126,0.5840800869750976,False,REGULAR,USD
TSLA270917C00870000,2026-06-09 19:40:19+00:00,870.0,18.9,18.4,18.9,-1.5500011,-7.579468,2.0,25,0.585239743347168,False,REGULAR,USD
TSLA270917C00880000,2026-06-10 15:38:27+00:00,880.0,18.52,17.85,18.4,-1.3799992,-6.934669,11.0,161,0.5855906919860838,False,REGULAR,USD
