contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
TSLA270319P00050000,2026-06-09 17:01:52+00:00,50.0,0.39,0.34,0.49,0.0,0.0,10.0,510,1.0043995092773437,False,REGULAR,USD
TSLA270319P00055000,2026-05-19 14:03:41+00:00,55.0,0.48,0.37,0.59,0.0,0.0,1.0,6,0.9750979052734375,False,REGULAR,USD
TSLA270319P00060000,2026-04-13 13:52:45+00:00,60.0,0.75,0.46,0.69,0.0,0.0,6.0,10,0.954102021484375,False,REGULAR,USD
TSLA270319P00065000,2026-04-13 17:39:44+00:00,65.0,0.86,0.53,0.76,0.0,0.0,3.0,28,0.9274909594726561,False,REGULAR,USD
TSLA270319P00070000,2026-06-09 17:41:40+00:00,70.0,0.65,0.57,0.81,0.0,0.0,10.0,225,0.8974619628906249,False,REGULAR,USD
TSLA270319P00075000,2026-05-28 19:12:58+00:00,75.0,0.72,0.66,0.88,0.0,0.0,2.0,110,0.87500125,False,REGULAR,USD
TSLA270319P00080000,2026-06-09 18:30:56+00:00,80.0,0.8,0.74,0.95,-0.029999971,-3.6144545,10.0,89,0.852540537109375,False,REGULAR,USD
TSLA270319P00085000,2026-06-04 19:56:48+00:00,85.0,0.81,0.81,1.08,0.0,0.0,1.0,30,0.8342301733398436,False,REGULAR,USD
TSLA270319P00090000,2026-06-05 18:40:36+00:00,90.0,1.01,0.9,1.18,0.0,0.0,40.0,67,0.815431533203125,False,REGULAR,USD
TSLA270319P00095000,2026-06-04 19:18:05+00:00,95.0,1.03,1.0,1.2,0.0,0.0,1.0,35,0.7929708203125,False,REGULAR,USD
TSLA270319P00100000,2026-06-09 19:30:29+00:00,100.0,1.23,1.19,1.33,0.0,0.0,25.0,4670,0.7817404638671875,False,REGULAR,USD
TSLA270319P00105000,2026-06-05 19:59:15+00:00,105.0,1.4,1.24,1.52,0.0,0.0,11.0,28,0.7661156201171876,False,REGULAR,USD
TSLA270319P00110000,2026-04-22 19:24:34+00:00,110.0,1.73,1.25,1.52,0.0,0.0,9.0,64,0.7402369726562499,False,REGULAR,USD
TSLA270319P00115000,2026-05-19 16:56:36+00:00,115.0,1.6,1.51,1.8,0.0,0.0,1.0,69,0.7375514526367187,False,REGULAR,USD
TSLA270319P00120000,2026-06-05 15:42:33+00:00,120.0,1.69,1.63,1.96,0.0,0.0,3.0,67,0.7232693688964844,False,REGULAR,USD
TSLA270319P00125000,2026-05-21 14:40:44+00:00,125.0,1.98,1.88,2.1,0.09000003,4.7619066,1.0,297,0.7127714270019532,False,REGULAR,USD
TSLA270319P00130000,2026-05-27 14:24:23+00:00,130.0,2.09,1.97,2.31,0.0,0.0,1.0,15,0.6989776196289064,False,REGULAR,USD
TSLA270319P00135000,2026-06-01 14:16:31+00:00,135.0,1.98,2.15,2.51,0.0,0.0,1.0,14,0.6873810559082032,False,REGULAR,USD
TSLA270319P00140000,2026-05-22 14:56:17+00:00,140.0,2.25,2.36,2.72,0.0,0.0,2.0,25,0.676761044921875,False,REGULAR,USD
TSLA270319P00145000,2026-05-15 14:05:55+00:00,145.0,2.43,2.61,2.95,0.0,0.0,5.0,152,0.6671175866699222,False,REGULAR,USD
TSLA270319P00150000,2026-06-10 16:27:44+00:00,150.0,3.02,2.91,3.15,0.49,19.36759,2.0,490,0.6575961975097657,False,REGULAR,USD
TSLA270319P00155000,2026-04-21 16:42:05+00:00,155.0,3.5,2.77,3.1,0.0,0.0,25.0,34,0.6325720336914062,False,REGULAR,USD
TSLA270319P00160000,2026-06-10 16:50:31+00:00,160.0,3.54,3.35,3.7,0.13999987,4.117643,3.0,71,0.6372106591796876,False,REGULAR,USD
TSLA270319P00165000,2026-06-05 19:01:08+00:00,165.0,3.64,3.6,4.05,0.0,0.0,128.0,52,0.6285437536621095,False,REGULAR,USD
TSLA270319P00170000,2026-06-04 18:23:22+00:00,170.0,3.34,3.95,4.4,0.0,0.0,1.0,43,0.6212196081542969,False,REGULAR,USD
TSLA270319P00175000,2026-05-29 14:19:57+00:00,175.0,3.57,4.4,4.6,0.0,0.0,1.0,1680,0.6124916680908206,False,REGULAR,USD
TSLA270319P00180000,2026-06-09 16:16:46+00:00,180.0,4.89,4.65,5.05,0.089999676,1.8749932,1.0,276,0.604190969848633,False,REGULAR,USD
TSLA270319P00185000,2026-06-10 18:48:10+00:00,185.0,5.33,5.15,5.4,0.32999992,6.5999985,1000.0,225,0.5976602734375001,False,REGULAR,USD
TSLA270319P00190000,2026-06-09 17:04:09+00:00,190.0,5.55,5.5,5.9,0.0,0.0,21.0,186,0.5905192315673828,False,REGULAR,USD
TSLA270319P00195000,2026-06-09 16:50:27+00:00,195.0,6.2,5.95,6.35,0.0,0.0,22.0,392,0.5835612933349608,False,REGULAR,USD
TSLA270319P00200000,2026-06-10 16:47:16+00:00,200.0,6.65,6.5,6.7,0.5799999,9.555188,4.0,3427,0.5761455960083007,False,REGULAR,USD
